ID;CHURN;AUTRE_ABONNEMENT;ANCIENNETE;CATEGORIE_OFFRE_M1;STATUT_RC_M1;STATUT_TRAFIC_M1;STATUT_FACT_M1;STATUT_TRAFIC_M2;STATUT_RC_M2;STATUT_FACT_M2;VOL_DATA_M1;MONTANT_OM_HT_M1;MONTANT_FACT_HT_M1;VOL_DATA_M2;MONTANT_OM_HT_M2;MONTANT_FACT_HT_M2;VOL_TOT_DATA_KO_M1;VOL_TOT_VOIX_M1;CONSO_M1;VOL_TOT_DATA_KO_M2;VOL_TOT_VOIX_M2;CONSO_M2
73399285;1;0;1- 03Mois;B2C;1;1;0;;0;;5071.8594;0;0;0;0;0;9092680.89746094;155.983333333333;9341.5;4706799.35546875;149.583333333333;6444.87
52189233;0;0;7- 25Mois+;B2B;0;1;0;1;1;0;481227.23662;0;0;435830.1340166;24793.3884297521;0;727007.97265625;230.883333333333;3000;3740404.88085938;160.916666666667;3350
66490233;0;1;3- 09Mois;B2C;0;1;0;1;1;0;245489.8588;0;0;249510.2802;24793.3884297521;0;21805140.9306641;1267.26666666667;25700;12877006.9863281;1237.58333333333;17800
45878464;0;0;7- 25Mois+;B2C;0;0;0;0;0;0;0;0;0;0;0;0;6586903.296875;62.1666666666667;9999.3;0;19.75;5034.23
49240853;0;1;7- 25Mois+;B2B;0;1;1;1;0;1;132780.09914;0;14407;87346.07269;0;14407;3841514.67578125;1094.55;10515;1376348.0625;1033.81666666667;10200
71979503;1;0;2- 06Mois;B2C;1;1;0;1;0;0;19599.82825153;0;0;0.680767054;0;0;13998393.7724609;1774.96666666667;17750;14501551.3085938;1837.48333333333;18450.9
62346251;0;1;5- 18Mois;B2B;0;1;1;1;0;1;320934.831963066;0;25424;204511.13782;0;25424;677631.747070313;211.583333333333;4147;469612.737304688;123.583333333333;2052.25
60366545;0;0;5- 18Mois;B2C;0;0;0;0;0;0;0;0;0;0;0;0;5522791.46777344;425.85;12702;21838414.7509766;323.5;11500
63617460;0;0;5- 18Mois;B2C;0;1;0;1;0;0;2.5263577;0;0;249497.998418555;0;0;7639386.68457031;1127.75;12271.98;1860706.91308594;541.066666666667;6750.25
74866543;0;0;1- 03Mois;;0;;;;0;;0;0;0;0;0;0;20927936.5810547;524.416666666667;11548.27;3245712.33496094;251.133333333333;3400
51402518;0;1;7- 25Mois+;B2C;0;1;0;1;0;0;260566.8387906;0;0;153180.62925;0;0;9612479.484375;1513.35;20421;5316908.54199219;1898;35618
54918670;0;0;6- 24Mois;B2B;0;1;0;0;0;0;0.298145296064;0;0;0;0;0;14883878.0683594;1403.61666666667;13000.18;15174178.2421875;1411.01666666667;20000
49213146;0;0;7- 25Mois+;B2B;1;1;0;1;1;0;452653.655269176;0;0;479658.621096;0;0;1015793.71972656;23.65;2487;0;9.53333333333333;2048
