"ID","CHURN","AUTRE_ABONNEMENT","ANCIENNETE","CATEGORIE_OFFRE_M1","STATUT_RC_M1","STATUT_TRAFIC_M1","STATUT_FACT_M1","STATUT_TRAFIC_M2","STATUT_RC_M2","STATUT_FACT_M2","VOL_DATA_M1","MONTANT_FACT_HT_M1","VOL_DATA_M2","MONTANT_OM_HT_M2","MONTANT_FACT_HT_M2","VOL_TOT_DATA_KO_M1","VOL_TOT_VOIX_M1","CONSO_M1","VOL_TOT_DATA_KO_M2","VOL_TOT_VOIX_M2","CONSO_M2"
"53570524","0","0","7- 25Mois+","B2C","0","0","0","0","0","0","0","0","0","0","0","42378735.255859","3090.6666666667","56500","38017340.020508","2985.3","41000"
"57468576","0","0","6- 24Mois","B2C","0","1","0","1","1","0","300115.8236323","0","333463.613774","24793.388429752","0","0","1.45","0","47937083.166992","784.15","25400"
"43076519","0","0","7- 25Mois+","B2C","0","1","0","1","0","0","203.26240298","0","187.09702851735","0","0","16815407.645508","693.25","12997","18688557.658203","491.8","13200"
"51792546","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","141756.547039","0","72275.6850455","20661.157024793","0","429109.08105469","132.66666666667","44851.01","17677054.410156","218.21666666667","17787"
"72891692","0","0","1- 03Mois","B2C","0","1","0","1","1","0","56718.305035952","0","14092.67205","0","0","286885.16601562","715.93333333333","10265.34","721.6484375","294.45","5530.48"
"50853110","0","1","7- 25Mois+","B2C","0","1","0","1","0","0","111.8657425797","0","119.0173198","0","0","43214752.012695","757.6","20803","17865806.129883","867.18333333333","20050"
"72238369","0","0","1- 03Mois","B2C","0","1","0","1","1","0","4378.79141882","0","19799.208109388","4132.2314049587","0","24740155.436523","1937.0166666667","27350.5","15917123.197266","1698.0833333333","19180.5"
"46799774","0","1","7- 25Mois+","B2C","0","1","0","1","0","0","215.97588665","0","285347.24324337","0","0","10347781.822266","1347.1833333333","15150","19742010.202148","1309.7166666667","12810.57"
"36913136","0","0","7- 25Mois+","B2C","1","1","0","1","1","0","145272.92314903","0","126606.92306918","0","0","13186735.9375","188.46666666667","10351.5","13483416.025391","640.63333333333","15297.44"
"54778708","0","0","6- 24Mois","B2C","0","1","0","1","1","0","36591.6139753","0","22001.108118402","14049.586776859","0","4925228.2470703","753.28333333333","10368","13710681.710938","779.23333333333","14321"
